DATE,ME,AVG,TIME,RELATIVE SCORE,CO2,TEMP
04/08/21,169,142,,119.014084507042,1276,
04/08/21,183,170,,107.647058823529,1285,
04/08/21,358,351,,101.994301994302,1377,
04/08/21,268,276,,97.1014492753623,1399,
04/08/21,256,253,,101.185770750988,1523,
04/08/21,91,88,,103.409090909091,1388,
04/08/21,263,353,,74.5042492917847,1499,
04/08/21,235,246,,95.5284552845528,1507,
04/08/21,186,179,,103.91061452514,1690,
04/08/21,154,127,,121.259842519685,1695,
04/08/21,112,130,,86.1538461538462,1710,
04/08/21,170,160,,106.25,955,
04/08/21,111,158,,70.253164556962,949,
04/08/21,254,296,,85.8108108108108,937,
04/08/21,85,77,,110.38961038961,934,
04/08/21,109,109,,100,974,
04/09/21,192,208,,92.3076923076923,1163,
04/09/21,175,182,,96.1538461538462,1005,
04/09/21,208,242,,85.9504132231405,1040,
04/09/21,266,466,,57.0815450643777,1068,
04/09/21,161,200,,80.5,1042,
04/09/21,144,174,,82.7586206896552,1048,
04/09/21,120,121,,99.1735537190083,1049,
04/09/21,184,176,,104.545454545455,572,
04/09/21,151,153,,98.6928104575163,577,
04/10/21,194,235,,82.5531914893617,1239,
04/10/21,188,178,,105.61797752809,1247,
04/10/21,234,304,,76.9736842105263,1248,
04/10/21,347,246,,141.056910569106,1130,
04/10/21,147,156,,94.2307692307692,1152,
04/10/21,297,200,,148.5,1630,
04/10/21,306,306,,100,1205,
04/10/21,159,155,,102.58064516129,2017,
04/10/21,296,292,,101.369863013699,2009,
04/10/21,260,316,,82.2784810126582,1991,
04/10/21,170,216,,78.7037037037037,1174,
04/10/21,320,367,,87.1934604904632,844,
04/10/21,165,128,,128.90625,850,
04/10/21,192,188,,102.127659574468,853,
04/10/21,199,143,,139.160839160839,884,
04/11/21,164,191,,85.8638743455498,1207,
04/11/21,254,270,,94.0740740740741,1989,
04/13/21,203,183,,110.928961748634,2240,
04/13/21,321,209,,153.588516746411,2200,
04/13/21,234,163,,143.558282208589,2188,
04/13/21,243,287,,84.6689895470383,2133,
04/14/21,266,295,,90.1694915254237,429,
04/18/21,83,91,,91.2087912087912,1491,
04/18/21,176,181,,97.2375690607735,1301,
04/18/21,378,268,,141.044776119403,1317,
04/18/21,29,44,,65.9090909090909,1332,
04/18/21,255,326,,78.2208588957055,1348,
04/18/21,84,102,,82.3529411764706,445,
